City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Port Elizabeth,ZA,2021-10-18 21:25:57,-33.918,25.5701,53.89,87,40,2.3
253,Mehamn,NO,2021-10-18 21:29:53,71.0357,27.8492,35.51,69,40,23.02
254,Bairiki,KI,2021-10-18 21:29:53,1.3292,172.9752,86.0,66,20,9.22
255,Gambela,ET,2021-10-18 21:29:53,8.25,34.5833,73.78,71,17,4.16
256,Majene,ID,2021-10-18 21:29:53,-3.5403,118.9707,78.75,87,92,3.36
257,Cherskiy,RU,2021-10-18 21:29:54,68.75,161.3,-5.49,100,27,9.37
258,Ariquemes,BR,2021-10-18 21:29:54,-9.9133,-63.0408,74.66,93,99,2.33
259,Rogers,US,2021-10-18 21:29:54,36.3668,-95.5836,74.95,33,1,5.01
260,Yaan,NG,2021-10-18 21:29:55,7.3833,8.5667,74.25,84,100,4.99
261,Ketchikan,US,2021-10-18 21:29:55,55.3422,-131.6461,48.67,49,1,11.5
262,Rawson,AR,2021-10-18 21:29:55,-43.3002,-65.1023,73.9,30,10,16.49
263,Sioux Lookout,CA,2021-10-18 21:29:56,50.1001,-91.917,70.18,40,75,10.36
264,Kalmunai,LK,2021-10-18 21:29:56,7.4167,81.8167,79.79,81,96,4.12
265,Choix,MX,2021-10-18 21:29:56,26.7092,-108.3219,84.65,52,100,2.91
266,Uruzgan,AF,2021-10-18 21:29:56,32.8333,66.0,48.02,19,0,1.48
267,Alanya,TR,2021-10-18 21:29:57,36.5438,31.9998,64.53,49,100,3.62
268,Lebu,CL,2021-10-18 21:25:47,-37.6167,-73.65,55.45,76,0,18.72
269,La Peca,PE,2021-10-18 21:29:57,-5.6111,-78.435,82.0,58,99,7.05
270,Kieta,PG,2021-10-18 21:29:57,-6.2167,155.6333,82.35,74,47,2.73
271,Mangaratiba,BR,2021-10-18 21:29:58,-22.9597,-44.0406,69.03,97,100,6.85
272,Georgetown,MY,2021-10-18 21:29:58,5.4112,100.3354,81.95,85,40,8.05
273,Wanaka,NZ,2021-10-18 21:29:58,-44.7,169.15,51.12,73,99,4.0
274,Chulman,RU,2021-10-18 21:29:59,56.8479,124.9104,21.07,94,100,5.86
275,Talara,PE,2021-10-18 21:29:59,-4.5772,-81.2719,72.36,64,0,14.97
276,Codrington,AU,2021-10-18 21:29:59,-38.2667,141.9667,50.36,87,60,10.47
277,Ponta Delgada,PT,2021-10-18 21:29:59,37.7333,-25.6667,70.52,78,20,11.5
278,Namibe,AO,2021-10-18 21:30:00,-15.1961,12.1522,63.37,85,45,5.95
279,Palmerston,AU,2021-10-18 21:30:00,-12.486,130.9833,80.58,87,40,0.0
280,Male,MV,2021-10-18 21:30:01,4.1748,73.5089,82.35,83,75,8.05
281,Saint Anthony,US,2021-10-18 21:30:02,45.0205,-93.218,79.75,29,1,4.0
282,Sokoto,NG,2021-10-18 21:30:02,13.0609,5.239,80.53,68,100,7.05
283,Korla,CN,2021-10-18 21:25:19,41.7597,86.1469,52.12,29,80,7.07
284,Corning,US,2021-10-18 21:29:45,42.1428,-77.0547,50.85,73,94,12.35
285,Rudbar,AF,2021-10-18 21:30:03,30.15,62.6,65.39,8,0,4.97
286,Tessalit,ML,2021-10-18 21:30:04,20.1986,1.0114,83.48,12,0,9.89
287,Los Rastrojos,VE,2021-10-18 21:30:05,10.0259,-69.2417,97.16,41,30,14.97
288,Neepawa,CA,2021-10-18 21:30:05,50.2289,-99.4664,70.2,36,65,4.9
289,Doka,SD,2021-10-18 21:30:06,13.5167,35.7667,77.02,48,0,4.14
290,Sitka,US,2021-10-18 21:30:07,57.0531,-135.33,49.89,46,75,20.71
291,Gunjur,GM,2021-10-18 21:30:08,13.2019,-16.7339,80.67,94,40,0.0
292,Severo-Kurilsk,RU,2021-10-18 21:30:08,50.6789,156.125,37.81,78,89,16.71
